,name,type,location,rating,num_ratings,age,price,abv,style,cask,flavor_summary,expert,score,Smoky,Peaty,Spicy,Herbal,Oily,Full-bodied,Rich,Sweet,Briny,Salty,Vanilla,Tart,Fruity,Floral
896,I.W. Harper 15 Year Bourbon,Bourbon,"I.W. Harper // Kentucky, USA",4.07,924,15 Year,3,43.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Floral & Vanilla,Distiller Staff,94,0.0,0.0,70.0,70.0,40.0,60.0,70.0,80.0,0.0,0.0,80.0,40.0,60.0,80.0
897,Cooperstown Distillery Beanball Bourbon,Bourbon,"Cooperstown Distillery // New York, USA",3.33,39,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Paul Belbusti,85,30.0,0.0,70.0,40.0,10.0,50.0,50.0,40.0,0.0,20.0,50.0,0.0,20.0,20.0
898,TX Straight Bourbon Cognac Cask Finish,Bourbon,"TX Whiskey // Texas, USA",,0,NAS,3,50.8,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak, ex-Cognac",Spicy,Paul Belbusti,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
899,Wyoming Whiskey Single Barrel Bourbon (2018),Bourbon,"Wyoming Whiskey // Wyoming, USA",3.65,25,NAS,3,44.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Paul Belbusti,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,Rich Grain Distilling Co. Bourbon,Bourbon,"Rich Grain // Mississippi, USA",3.75,1,NAS,2,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",Oak,Spicy,Paul Belbusti,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901,Bardstown Bourbon Co. Discovery Series #2,Bourbon,"Bardstown Bourbon Co. // Kentucky, USA",4.12,39,NAS,4,60.605,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Paul Belbusti,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,Bighorn Bourbon,Bourbon,"Willie's Distillery // Montana, USA",3.53,45,NAS,2,40.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.",New American Oak,Spicy,Paul Belbusti,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
903,"Booker's Bourbon Batch 2015-05 ""Maw Maw's Batch""",Bourbon,"Booker's // Kentucky, USA",4.17,71,"6 Yr, 7 Mo",3,64.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Paul Belbusti,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
904,Murray Hill Club Blended Bourbon,Bourbon,"Jos. A. Magnus & Co. // (blended & bottled in Washington D.C.), USA",3.54,68,NAS,4,51.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred american oak",Vanilla,Sam Davies,82,0.0,0.0,45.0,0.0,10.0,40.0,30.0,40.0,40.0,10.0,55.0,0.0,0.0,0.0
905,Kentucky Owl The Wiseman Bourbon,Bourbon,"Kentucky Owl // Kentucky, USA",3.75,1,NAS ,3,45.4,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.","new, charred American oak",Spicy,Amanda Schuster,78,10.0,0.0,50.0,10.0,5.0,40.0,40.0,45.0,0.0,10.0,15.0,20.0,45.0,0.0
